Common Name,Botanical Name,Family,Description
Arching Spirea,Spiraea arcuata,Rosaceae," Arching Spirea is a small shrub with branches
arched, dark brown, shining, stout, slightly angled, deeply grooved,
hairless when old; buds long ovoid, with 2 scales. Leaf-stalks are
short, slender, hairless or nearly hairless. Leaves are long elliptic
to obovate, 8-12 x 3-5 mm, hairless or nearly so on both surfaces, base
wedge-shaped, margin entire or bluntly 3-8-sawtoothed or lobed
apically, tip blunt, rarely somewhat pointed. Flowers are borne in
corymbs at branch-ends on short, lateral branchlets, compound, dense,
many flowered. Axis and flower-stalks are finely velvet-hairy;
flower-stalks short. Flowers are 6-8 mm in diameter. Hypanthium is
top-shaped, velvet-hairy below. Sepals are triangular, reflexed in
fruit, tip usually pointed. Petals are pink, nearly round, hairless.
Stamens are slightly shorter than or nearly equaling petals. Disk is
annular, broadly rounded toothed. Seed-pods are spreading, wholly
protruding, shining, hairless, rarely finely velvet-hairy only on upper
suture; styles at branch-ends on lower side, divergent. Arching Spirea
is found in forests, thickets on river banks, river valleys, subalpine
rocky places in the  Himalayas at elevations of 3000-4200 m, from
Garhwal to Sikkim, Bhutan, Tibet, N. Burma, W China.  Flowering:
May-July.  
"
Grey Stem Spiraea,Spiraea canescens,Rosaceae," Grey Stem Spiraea is a stiff deciduous shrub, 1-5 m tall, with arching 
grey-haired branches. Leaves are small, elliptic-obovate, entire or have 3-5
teeth at the apex. Leaves are hairy. White flowers, 4-6 mm across, in 
numerous dense flat-topped clusters. The clusters are borne on short side 
branches forming a long inflorescence. Ripe carpelsare long-haired, partly 
sunk in sepal tube. Greyed Stem Spiraea is found in thickets, thicket 
margins, valleys, river banks, stream sides, dry places, at altitudes of 
1500-3000 m. Flowering: May-June. "
Reeves' Spirea,Spiraea cantoniensis,Rosaceae," Reeves' spirea is a deciduous or semievergreen
 little shrub with very showy clusters of white flowers in midspring.
 This spirea gets 3-6 ft tall and the wiry, reddish brown, gracefully
 arching stems can cover an area 6-8 ft across. The leaves are about 2
 inches long, dark green on top, pale blue green beneath, and diamond
 shaped with toothed margins. The small roselike flowers, 1.2 cm
 across, have five (or many) white petals and are borne in round
 clusters about 5.1 cm across and are profusely distributed all over
 the bush. Reeves' spirea is native to China. "
Douglas Spiraea,Spiraea douglasii,Rosaceae," Douglas Spiraea is a woolly shrub growing 1-2 m
tall from rhizomes, forming dense  thickets. Large clusters of small
pink flowers form spires in early summer, later turning dark and
persisting. Flowers are small 5-petalled, with much protruding stamens.
The leaves are elliptic-oblong, toothed toward the tips. The undersides
are whitish with prominent veins. This plant is used as a garden plant
in landscaping, where it grows best in sunny, moist places. It is
native to western North America from Alaska across southwestern Canada
and the Pacific Northwest.  "
Japanese Spirea,Spiraea japonica,Rosaceae," Japanese spirea is an erect, multi-stemmed deciduous shrub that grows up 
to 2-6 ft tall with a similar spread. The slender reddish brown stems may 
be hairy or smooth. Alternately arrange ovate-lanceolate leaves are 1-3 
inches long and usually paler on their undersides. The leaves have toothed 
margins, wedge-shaped bases, and pointed tips. Pink flowers are borne in 
flat-topped clusters at the tips of the slender branches. The shades of 
pink vary from plant to plant. It is grown as a garden plant, and numerous 
cultivars exist. Japanese spirea comes from Japan. It also is considered 
native to Korea and China.  "
Bridal Wreath Spiraea,Spiraea prunifolia,Rosaceae," Bridal wreath spirea is a gracefully arching shrub
up to 6 ft in height and width. The stem is slender, shiny, brown. It
has deciduous 2.5-5 cm ovate leaves with fine teeth on the margins. The
leaves are glossy dark green, often turning purplish or reddish orange
in autumn. The flowers are snowy white and double, about 8 mm across,
and produced all along the stems in open corymbs of 3-6, each cluster
about 6 cm across. Bridal wreath spirea blooms in early to mid spring,
before the leaves come out. Spirea prunifolia var. simpliciflora, the
wild form, hails from temperate Asia in Korea, eastern China and Taiwan
where it grows on rocky hillsides. S. p. 'Plena', the garden form,
apparently originated in Chinese gardens, and actually was discovered
by Western botanists and horticulturists before the wild form was
known.	"
Thunberg Spirea,Spiraea thunbergii,Rosaceae," Thunberg Spirea is a dense, twiggy, upright, shrub,
growing up to 1.5 m tall, which sports graceful branches which arch
outwards. In spring the plant blooms with clusters of tiny white
flowers, which cover the slender, naked branches, producing a showy
display. Flowers are white, single, small, about 8 mm across. Leaves
are narrow light green, turn yellow in fall, sometimes tinged soft
reddish-brown. Thunberg Spirea is popular for its profusion of white
flowers. Thunberg Spirea is native to East China and Japan, and widely
cultivated elsewhere.  
"
Blueberry-Leaved Spirea,Spiraea vaccinifolia,Rosaceae," Blueberry-Leaved Spirea  is an erect shrub with
rigid hoary branches. Leaves are 0.8-3 cm, usually elliptic and pointed
at both ends, toothed. Nerves beneath are faint. Leaf-stalks are 4-6
mm, slender. White flowers are borne in dense corymbs. Flowers are
small, 4 mm in diameter. Blueberry-Leaved Spirea is found in Western
Himalayas.  "
Wild Mango,Spondias pinnata,Anacardiaceae," Wild Mango is a deciduous tree, 10-15 m tall, with yellowish brown, smooth 
branches. Leaf stalks are 10-15 cm long. Leaves are 30-40 cm long,  
compound with 5-11 opposite leaflets. Leaflets are stalked, ovate-oblong 
to elliptic-oblong, 7-12 cm long, 4-5 cm wide, papery. Leaf base is wedge-
shaped to rounded, often oblique, margin toothed or entire, with a 
tapering tip. Tiny flowers are borne in panicles at the end of branches,  
25-35 cm long. Flowers are stalkless, white. Sepals are triangular, about 
0.5 mm. Petals are ovate-oblong, about 2.5 × 1.5 mm, pointed. Fruit is 
ellipsoid to elliptic-ovoid, yellowish orange at maturity, 3.5-5 × 2.5-3.5 
cm. Inner part of endocarp is woody and grooved, outer part is fibrous. 
Mature fruit is usually with 2 or 3 seeds. Flowering: March-April. "
High-Altitude Chesneya,Spongiocarpella nubigena,Fabaceae," High-Altitude Chesneya is a densely small
mat-forming plant, about 10-20 cm in diameter. Leaves are 2.5-4cm long,
composed of 15-21 or more silvery-hairy leaflets up to 5 mm long.
Flowers are borne solitary, about 2.5 cm long, yellow, much larger than
the leaflets. They are shaped like pea flowers. Standard petals is 2-3
cm, lamina broadly ovate or round, with dense white short hairs below,
tip notched, wings 1.8-2.8 cm; keel about as long as wings, without
ears. Ovary is stalkless, with dense white long hairs. Seed-pod is
narrowly elliptical, 2-3 cm x 7-8 mm. High-Altitude Chesneya is found
in the Himalayas, from Kumaun to Bhutan, W Tibet, Burma and China, at
altitudes of 3600-5200 m. 
Flowering: July-August.   "
Marsh Maranta,Stachyphrynium spicatum,Marantaceae," Marsh Maranta is a small annual herb, 20-30 cm
tall. Roots are fibrous, creeping. Leaves are 15-25 cm long, oblong,
long-pointed, base rounded. Leaf-stalks are slender 15-25 cm long.
Flowers are borne in 3-5 cm long spikes arising directly from the root,
almost appearing on the ground. Bracts are 2 cm long, ovate. Sepals are
3, shorter than the flower-tube. There is 1 stamen with a large
appendage. Fruits are 8 mm, 3-seeded. Marsh Maranta is occasionally
found in the forests of Western Ghats.	"
Woolly Woundwort,Stachys floccosa,Lamiaceae," Woolly Woundwort os a perennial herb with stems
erect 40-150 cm, sturdy, obtusely guadrangular, unbranched or with few
branches, with a dense white woolly long hairs, leafy. Leaves are green
above and white below, ovate to ovate-lanceshaped, 5-8 x 2.5-4.5 cm,
heart-shaped, toothed, pointed, densely white woolly below. Leaves are
decreasing in size up the stem and transform into floral leaves and
bracts. Lower leaf-stalks are up to 4 cm, less above. Flowers are borne
in many-flowered clusters on distant interrupted spikes. Bracts are
ovate-lanceshaped, about 5 mm. Sepal cup greyish-green, about 9 mm
long, not 2-lipped, densely hairy with long hairs,
triangular-campanulate; teeth erect, equal, c. 3 mm,
acuminate-spinulose; throat of tube rather densely vinous. Flowers are
white, pink to pale purple, 1-1.2 cm; upper lip straight, silky; lower
lip 3-lobed, longer than upper; tube curved slender. Stamens remain
under the upper lip. Style is shortly 2-lobed. Nutlets brown, ovoid, c.
2 x 1.5 mm, apically rounded. Woolly Woundwort is found in the
Himalayas, from
Afghanistan, Pakistan to Kashmir, NW India. Flowering: June-September.
"
Tibetan Woundwort,Stachys tibetica,Lamiaceae," Tibetan Woundwort is a perennial, woody,
 clump-forming, much branched plant. Stems are slender, quadrangular,
 erect, 20-50 cm, with a fine short eglandular indumentum. Leaves are
 oblong to ovate-lanceolate, 1-2.5 cm long, 0.5-1 cm wide, entire to
 clearly lobed, cuneate, acute, green, on both surfaces hairy with
 short hairs, with numerous sessile oil globules  on the underside.
 Verticillasters are 2-, rarely up to 6-flowered, clearly distant.
 Bracts subulate, spiny, 3-5 mm. Sepal cup is tubular-obtriangular,
 18-10 mm, ± densely covered with fine short hairs and sessile oil
 globules, not bilabiate; teeth triangular, c. 4 mm, equal, spinulose,
 erect-spreading; tube glabrous at throat. Flowers are pink, 1.5-2 cm,
 shortly pilose; tube narrow straight, c. 10 mm, annulate; upper lip ±
 straight, entire. Stamens 4, didynamous, usually curved and projecting
 below corolla upper lip; thecae slightly hairy. Nutlets c. 2.5 x 1.5
 mm, trigonous, apically truncate. Tibetan Woundwort is found in
 Pakistan, Kashmir, NW India, W. Tibet, at altitudes up to 4500 m.
 Flowering: June-August. "
White Porterweed,Stachytarpheta cayennensis,Verbenaceae," White Porterweed is a small shrub, 1-2.5 m tall, with
nearly cylindrical, hairless branches. Leaves are opposite-decussate,
ovate to elliptic, 3-6 cm long, 1.5-2.5 cm broad, sawtoothed,
wedge-shaped, scabrous, shortly stalked; leaf-stalk 1-1.5 cm long.
Spikes are elongated, up to 25 cm long, slender, becoming hairless or
sparsely velvet-hairy. Flowers are white or blue with whitish  centers,
about 5 mm across, bracteate with linear-lanceshaped tapering bracts.
Calyx-tube is 4-5 mm long, 4-toothed, hairless. Flower-tube as long or
slightly exceeding the calyx; limb 4-5-lobed, with lobes 1.5-2 mm long.
Fruit with persistent style, splitting into two, 1-seeded pyrenes.
White Porterweed is found throughout the Tropical world. 
"
Blue Porterweed, Stachytarpheta jamaicensis,Verbenaceae,"
Blue porterweed is a low, sprawling shrub with a subtle beauty. It is
surprising to some that this native plant of the tropical south east
is being cultivated for the best of gardens. It was considered a weed
for so long.  The leaves are attractive, crinkled and toothed.  It is
a perennial shrub that becomes woody toward the base of the stem as is
grows to about one-year-old.  Plants grow about 4-feet-tall by 6-feet
wide before stems droop and touch the ground. Blue flowers,  about a
quarter-inch in diameter, are borne terminally on long, stringy spikes
at the ends of the stems.  Rich, dark green foliage displayed on square,
green stems makes Porterweed a nice addition to any, sunny landscape.
Porterweed is a prolific bloomer and it attracts a wide variety of
butterfly. They all flock to drink its sweet nectar. More popular garden
varieties are the ones with blue, purple, or coral blooms. Full sun and
drought conditions have little effect on the plant.  Propagation of this
plant is easy, by putting any stem node in water or perlite for two weeks."
Pink Snakeweed,Stachytarpheta mutabilis,Verbenaceae," Native to South America, Pink Snakeweed is a 
perennial herb or nearly a shrub 1-2 m tall. Stems are 
stout, branched, densely velvet-hairy or bristly throughout. Oppositely 
arranged leaves are rather thick and somewhat leathery, ovate to elliptic-
oblong, sometimes even lance-shaped, 5-12 cm long, 2.5-6 cm wide. Upper 
surface of the leaf is somewhat like mint leaves, lower surface densely 
velvety. Margins are toothed, with the teeth angled forward. Tip is acute 
to tapering, base broadly wedge-shaped to heart-shaped. Leaf stalks are  
1-2.3 cm long.  Flower spikes are stout, erect, 10-60 cm tall, densely 
bristly. Bracts are lance-shaped or oblong-lanceshaped, 8-12 mm long. 
Flowers are attractove, scarlet, crimson to rose or magenta, fading pink, 
occasionally purple, fading blue. Flower tube is 1.3-1.8 cm long. "
Blue Snakeweed,Stachytarpheta urticifolia,Verbenaceae," Blue Snakeweed is a branched erect herbaceous plant
that grows up to 1.5 m tall.  Young shoot, leaf-stalks and leaves
towards the base velvet-hairy. Leaves 4-8 x 2-5 cm, elliptic-ovate,
pointed at tip, sawtoothed on margins, hairless on both sides. Spikes
at branch-ends, cylindric, about 0.3 cm diameter, 20-40 cm long. Bracts
are 5-7 mm long, linear lanceshaped, fringed with hairs on margins.
Calyx is tubular, narrow, about 0.5 cm long; sepals 5, minute. Flower
tube is about 5 mm long, slightly curved, 5-lobed; petals blue. Stamens
are 2, not protruding, staminodes 2. Capsule is 4-5 mm long, cylindric;
calyx tube persistent. Capsule spilts into two 1-seeded pyrenes. Blue
Snakeweed is found throughout the Tropical world. Flowering:
September-December. 
"
Sausage Vine,Stauntonia latifolia,Lardizabalaceae," Sausage Vine is a vigorous, woody, evergreen climber, native to the 
Himalayas. Branches are prominently channelled. Leaves are palmately 
compound, with 3-9 elliptic or oblong-ovate leaflets, 4-10 cm long. In 
spring, it bears small clusters of very heavily scented, white or  
purplish, bell-shaped flowers. Flowers are very sweetly scented. They are 
borne in racemes in leaf axils. Fruit is reddish purple at maturity, 
irregularly sausage-shaped, 5-7 cm long, up to 4 cm wide. Ripe fruits are 
eaten fresh. Sausage Vine is found in forests, shrubberies and shady ravined 
of the Himalayas, from Pakistan to SW China, at altitudes of 1500-4000 m. 
Flowering: April-May. "
Ceylon Staurogyne,Staurogyne zeylanica,Acanthaceae," Ceylon Staurogyne is a plant with short erect stem
and trailing velvet-hairy branches. Leaves are elliptic, 3 inches long,
1 inch wide, somewhat blunt, narrowed at the base. Leaf-stalk is 1-1.5
cm. Flowers are borne in 1-2 inches long, dense cylindric spikes.
Bracts are obovate, slightly longer than the flowers. Flowers are 6-8
mm long, pinkish white. Four sepals are linear, rather shorter than the
bracts, and the fifth one is rather broader, linear somewhat pointed.
Ceylon Staurogyne is found in peninsular India. Flowering:
January-April. "
Grass-Leaved Chickweed,Stellaria graminea,Caryophyllaceae," Grass-Leaved Chickweed is perennial herb, with stems
growing in dense tufts, slightly erect, quadrangular, 10-30 cm tall,
slender. Leaves are stalkless, pinkish green, linear to lanceshaped,
0.5-4 cm x 1.5-3 mm, basal margin sparsely ciliate, base slightly
narrowed, tip pointed. Flowers are many or sometimes few, in terminal
or axillary cymes, 7-11 mm in diameter. Bracts are lanceshaped, 2 mm,
midvein prominent, margin membranous. Flower-stalks are 0.5-2.5 cm, up
to 3.8 cm in fruit, slender. Sepals are 5, green, lanceshaped or
narrowly lanceolate, 4-4.5 mm or longer, shiny, 3-veined, tip
long-pointed. Petals are 5, slightly shorter or longer than sepals,
divided into two nearly to base. Stamens are 10, filaments threadlike,
4-4.5 mm, anthers brown. Ovary is ovoid-oblong, styles 3 or 4, about 2
mm. Capsule is ovoid-cylindric, much longer than persistent sepals. 
Grass-Leaved Chickweed is found in Europe, C. Asia, Himalayas, Siberia,
Mongolia, Tibet, at altitudes of 3000-3200 m. Flowering: May-July. 
"
Himalayan Stichwort,Stellaria himalayensis,Caryophyllaceae," Himalayan Stichwort is a branched, procumbent herb,
7-25 cm, woolly above, hairless below. Lower leaves are shortly
stalked, ovate-heart-shaped or round, mucronate at tip, 5-17 x 4-8 mm,
thick-margined; upper leaves lanceshaped, smaller. Flowers are borne
singly, flower-stalks arising from upper axils, slender, hairless.
Sepals are 4, subulate, lanceshaped, 5-7 mm long, narrow
scarious-margined. Petals are 4, divided into two with oblong blunt
lobes, twice as long as sepals, white. Stamens are 8, styles 2.
Capsules are ovoid, about 3 x 2 mm, hyaline; seeds nearly round, a
compressed, 0.7 - 1 mm in diam., brown, smooth. Himalayan Stichwort is
found in temperate and alpine Himalayas, from Kashmir, Himachal
Pradesh, Uttarakhand to Nepal, at altitudes of 2600-3400 m. Flowering:
April-June. 
"
Chickweed,Stellaria media,Caryophyllaceae,"
It is a common weed almost world-wide. Chickweed is an annual, but is
somewhat unusual in that it often germinates in the fall (though it also
germinates year-round), and hangs on through the winter, flowering and setting
seed in the early spring, and dying off by summer. It's at its best in the
spring and fall, as it greatly prefers cool and damp conditions, and will not
survive where it's dry and hot. Chickweed is just about always flowering,
except in the dead of winter. It has tiny white flowers, about a quarter inch
in diameter, in the leaf axils or in terminal clusters, with five deeply
notched petals that look like ten, and five green sepals that are longer than
the petals. The flowers close at night and open in the morning. They also
close when it's about to rain. 
"
Sticky Stitchwort,Stellaria monosperma,Caryophyllaceae," Sticky Stitchwort is an erect perennial herb 1-2 ft
tall. Stems are shining, branched or not, 4-angled, hairless or
velvet-hairy. Upper portion of stem and flower-stalks are densely
glandular hairy. Leaves are large, 2.5-7 cm x 0.8-1.5 cm,
linear-lanceshaped to ovate lanceshaped, stalkless, pointed to
long-pointed, surface hairless to sparsely velvet-hairy, margin ciliate
to very minutely papillose. Tiny flowers are borne in cymes. Bracts are
linear-lanceshaped, long-pointed, margin scarious. Petals are white, as
long as or shorter than the sepals, distinctly two-lobed. Styles are 3.
Capsule are about as long as the sepals, 1-2-seeded. Seeds are large
tuberculate. Sticky Stitchwort is found in the HImalayas, from
Afghanistan to Nepal and SW China, at altitudes of 1200-3300 m.
Flowering: July-August. 
"
Webb's Chickweed,Stellaria webbiana,Caryophyllaceae," Webb's Chickweed is slender, creeping herb, 15-30
cm long, hairless or sparsely white-hairy. Stems are 4-angular,
branched. Leaves are stalkless, linear, acicular, 8-16 mm long,
spreading, rigid, shiny, 1-nerved. Flowers are borne in leaf-axils,
nearly erect, white; flower-stalks capillary, 2.5-5 cm long. Sepals 4,
lanceshaped. tapering at tip, 5-7 mm long, broadly scarious-margined,
shiny. Petals are 2-fid up to middle, 1.0-1.1 cm long with narrow blunt
lobes. Stamens are 8, styles 2. Capsules are ovoid, 6-valved, equalling
sepals; seeds compressed, 0.8 - 1 mm in diameter, pale brown, papillate
along margins. Webb's Chickweed is found in Temperate Himalayas, in
Jammu & Kashmir,  Uttarakhand, Nepal and Afghanistan.  Flowering:
April. 
"
Himalayan Stellera,Stellera chamaejasme,Thymelaeaceae," Himalayan Stellera is a perennial herb of dry
Tibetan borderlands. with many herbacious, leafy stems, up to a foot
tall, arising from a thick rhizome. Leaves are elliptic-lanceshaped,
long-pointed, numerous, overlapping, up to 2 cm long. Flowers are white
with pinkish tube, very fragrant, in domed clusters at top of the
stems. Receptacle tube is up to 1.5 cm long, with 5 short oblong
sepals. Himalayan Stellera is found in the Himalayas, from Uttarakhand
to China, at altitudes of 2700-4300 m. Flowering: May-July. "
Whorled Twintip,Stemodia verticillata,Plantaginaceae," Whorled Twintip is an annual herb, with stems
clustered, erect, up to 14 cm high, much branched, densely hairy.
Flowers are borne in leaf-axils, solitary. Flowers are blue-purple, 5.5
mm long; tube cylindric, 3-4 mm long, pale green, with longitudinal
dull purple lines; upper lip 2- lobed at tip, with club-shaped hairs at
base; lower lip 2 mm across, with obovate-round lobes, midlobe broader
than lateral ones. Filaments are hairless, anterior pair 1.5-2 mm long,
posterior pair shorter; posterior anther-cells unequally paired.
Flower-stalks are 1 mm long. Sepals are nearly equal,
linear-lanceshaped, 2.5-3.5 x 0.6 mm, tapering at tip, minutely
glandular-bristly outside. Lower leaves are opposite, upper ones in
whorls of 3, broadly ovate, 0.7-1.5 x 0.4-1.4 cm, flat at base,
somewhat pointed at tip, coarsely rounded toothed-sawtoothed, dotted
above. Leaf-stalks are 3-10 mm long, densely and minutely
glandular-bristly. Capsule round, 2.5-3 x 3 mm, biconvex, shorter than
sepal-cup, hairless, 4-valved; seeds cuneiform, 0.5 mm long, flat at
both ends, longitudinally ribbed, netveined in between ribs, dark
brown. Whorled Twintip is native to S. Mexico to Tropical America,
naturalized in India and elsewhere. Flowering: March-April. 
"
Sticky Blue Rod,Stemodia viscosa,Plantaginaceae," Sticky Blue Rod is an aromatic perennial forb with purple or violet flowers 
over most of the year. It is a branched forb, 10-60 cm high.  Oppositely 
arranged stalkless leaves, 1-4 cm long, are oblong, acute and heart-shaped at 
the base. Flowers occur either singly in leaf axils or in racemes at the end 
of branches. Flowers are violet, 8 mm long, two-lipped. Upper lip broad and 
erect, lower lip 3-lobed, spreading. Flowering: December-January. "
Pemba Grass,Stenotaphrum dimidiatum,Poaceae," Pemba Grass is a creeping stolon forming perennial having bright green 
leaves. It spreads by branched rhizomes and stolons and is native to the 
coastal districts of East Africa, Madagascar, India and the islands of the 
Indian Ocean. It is well grazed by animals. Leaf-blades are folded 
lengthwise along the midrib, 5–20 cm long, 5–12 mm wide. Leaf tip is 
blunt. Inflorescence is composed of racemes. Racemes borne along a central 
axis; in a unilateral false spike; sunken; unilateral; 0.7–1.5 cm long; 
bearing few fertile spikelets. Spikelets comprising 1 basal sterile 
florets, 1 fertile florets. Spikelets are ovate, dorsally compressed, 4–5 
mm long, deciduous with accessory branch structures. Back of inflorescence 
axis is toothed at each node.  "
Elegant Tape Vine,Stephania elegans,Menispermaceae," Elegant Tape Vine is a herbaceous vines with
slender, grooved branches. Leaf-stalks are 2-4 cm long, prominently
attached to the leaf away from the edge (peltate). Leaves are narrowly
triangular or ovate-triangular 5-10 x 2.5-5.5 cm, papery, usually brown
when dry, glossy above, both surfaces hairless, base flat to slightly
concave, sometimes heart-shaped, tip slightly long-pointed, sometimes
blunt, minutely mucronate, upward and downward each palmately 4- or
5-veined. Inflorescences is simple (or compound) umbelliform cymes.
Stalks carrying the clusters are slender and straight. Stalked flowers
are light green or purple. Male flowers: sepals 6, dark purple,
obovate, about 1.6 x 1 mm, hairless. Female flowers: perianth as in
male flowers. Fruits are red, broadly obovate-globose, about 7 mm.
Elegant Tape Vine is found in the Himalayas, from Garhwal to Assam, at
altitudes of 1000-1700 m.  "
Slender Tape Vine,Stephania gracilenta,Menispermaceae," Slender Tape Vine is a hairless herbaceous climber,
with branches slender, brown when dry, longitudinally channelled.
Leaf-stalks are 3-10 cm long. Leaves are prominently peltate (stalk
attached to the middle of blade), triangular-round, 3-7 cm, width
nearly equal to length or slightly wider, thinly papery or nearly
membraneous,  pale on both surfaces, especially below, base flat, tip
often with a fine point. Leaves are palmately 8- or 9-veined.  Tint
purple flowers are borne in clusters hanging on slender stalks 1-4 cm,
in leaf axils or on short axillary branches with reduced leaves.
Cymelets are 5-6, flowers purple, flower-stalks threadlike, 0.5-1 mm.
Male flowers have 6 sepals, obovate-oblong to broadly elliptic, 1.5-2
mm; petals 3-4, slightly fleshy, broadly wedge-shaped to
inverted-heart-shaped or round, 0.8-1 mm. Female flowers are similar to
male flowers. Fruits are obovate, slightly flattened. Slender Tape Vine
is found in the Himalayas, from Uttarakhand to Nepal, at altitudes of
2100-2400 m. Flowering: June-August.  "
Madagascar Jasmine,Stephanotis floribunda,Apocynaceae,"
Madagascar jasmine is an exotic climber suitable for a warm room or a pot
in a sunny window trained round a framework of canes. The
white, waxy blooms give off a rich sent that will spread throughout the house.
Also known as Bridal Wreath, it is the most well known of about 13 species of
the genus Stephanotis. Most representatives originate on Madagascar
but there are also species found in China, Japan the Malabar peninsula and
in Cuba. The Madagascar jasmine is widely cultivated for its lasting waxy
white flowers and intense fragrance. The scent is strongly reminiscent of the
true jasmine, Jasminum officinale, hence the common name. However, these
species are not at all related: The Stephanotis species belongs to the
milkweed family, Apocynaceae, while the Jasmines are members of the olive
family, Oleaceae. Leaves are glossy and dark green, and make a nice contrast
with the snow white flowers."
Java Olive,Sterculia foetida,Sterculiaceae," Java Olive is a tall, straight tree. Originally from East Africa and 
North Australia, it grows freely down the West of the Peninsular, in Burma  
Ceylon and South India. The grey bark is smooth, spotted with brown and 
faintly ridged.  The branches are whorled and usually horizontal, the 
numerous branchlets gracefully up-curved and crowded at the ends with 
large, palm-like leaves, remind one somewhat of the English Horse-chestnut. 
The flowers, appearing early in February, form at the knotty ends of the 
wrinkled old branchlets immediately beneath the new leaves and spread in 
drooping rays as much as one foot in length. The reddish-green stems bear 
numerous short branched stalks, each terminating in a crimson-brown flower. 
The sepals, which look like petals, (there are no visible real petals), are 
about 1-inch across, back-curling and varying in colour from yellow to pale 
terracotta and to deep crimson and brown. But the main characteristic of 
these flowers is their incredible stench. Coming across a Java Olive 
in bloom ones would think that one was near an open sewer and any part of 
the tree when bruised or cut emits this unpleasant odour. It is unfortunate 
as the tree is extremely handsome; tall and straight, its well shaped crown 
swathed in coral, often without a single touch of green, it stands out 
amongst the surrounding verdure in great beauty and dignity.
The seeds are edible after toasting and taste like chestnuts (Castanea sativa ). They also contain an oil that is used medicinally, while the timber is used for making furniture and the bark for rope. "
Spotted Sterculia,Sterculia guttata,Sterculiaceae," Spotted Sterculia is a tree with a straight trunk. Leaves are hairless 
above, velvety beneath, oblong-ovate acute or acuminate. Leaf base is 
rounded or nearly heart-shaped. Flower panicles are sparingly branched. 
Flower-buds are spherical. Flowers are chiefly male. Sepal tube 1/3 inches 
densely rusty hairy outside, glandular within, bell-shaped, divided into 5; 
segments broadly ovate-acute, ultimately reflexed, covered with long hairs.
Flowers are yellow, with purple glands on the inside of the petals.
Anthers 12, Ovary stalked, spherical, 3-5-lobed. Style curved, stigma 3-5 
lobed. Follicles 1-5, size of a small apple, each about 3 inches, obovoid, 
covered with reddish down, smooth, pink within.
Flowering: December. "
Shrub Sterculia,Sterculia hamiltonii,Sterculiaceae," Shrub Sterculia is a shrub that will
generally go unnoticed unless it happens to be flowering
or fruiting. The shrub is spindly with large spirally arranged leaves.
The stems are thickened at the top near the base of the leaf - this
feature is common to many species in Mallow family. Flowers are
creamish white, curious looking. Sepals are linear-lanceshaped, as long
as the sepal tube, tips long-pointed, curving in and joining to form a
cage-like flower.  Seed-pods are red, oblong-ovate, 1-4-seeded, thickly
leathery, apex beaked. Seeds are black-brown, ellipsoid or oblong. 
Shrub Sterculia is found in NE India and SE Asia, at altitudes of 300-1100 m.
"
Common Sterculia,Sterculia parviflora,Sterculiaceae," Common Sterculia is a deciduous tree up to 25 m tall.
The primary branching is whorled. The young shoots are finely brown and
scurfy. The leaves have a long leaf-stalk up to 10 cm, has a slight
heart-shaped base, and a somewhat variable shape from elliptic, oblong
to obovate. Flowers are small, pale yellow with pink sepal-cup, in
drooping racemes in leaf-axils or at branch-ends. Flowers are without
petals, urn-shaped sepal-cup with 5 lanceshaped, pale yellow sepals
curved inwards and spreading outwards after anthesis, stamens 10,
joined into a column with anthers at the top. The fruit pods are very
large, velvety and change from yellow to orange-red. Common Sterculia
is a hardy tree tolerant of urban conditions, and such cultivated trees
are able to produce fruits within 4-5 years. Seeds are cooked and
eaten. It is native to Andaman & Nicobar Is., Bangladesh, Borneo,
Cambodia, Malaya, Myanmar, Thailand, Vietnam.  
"
Grooved-Flower Sterculia,Sterculia striatiflora,Sterculiaceae," Grooved-Flower Sterculia is a shrub, 1-1.5 m tall,
bark greenish grey. Leaves are 15-25 cm x 5-8 cm, simple; blade
elliptic to inverted-lanceshaped, entire sometimes slightly wavy, with
a tail-tapering, base wedge-shaped, papery, only sparsely
star-shaped-hairy above and thinly below mainly on nerves. Leaf-stalks
are 2-3.5 cm, thickened just below the blade. Flowers are borne in
panicles in leaf-axils, 7-10 cm , male and female flowers on same
inflorescence, lax, drooping, branches capillary. Flower-stalks are
short, 3-5 x 0.8-1 mm long, capillary. Bracts are subulate, 3-3.5 x
1-1.5 mm, light green, persistent; flower-cluster-stalk, axis,
leaf-stalk and bracts densely hairy. Flowers are drooping, 8-10 mm in
diameter; sepal-cup petal-like, pale yellow to dark pink, greenish
towards the base, color becomes darker with age after blooming, tube
4-5 mm, funnel-shaped, tepals 5, lanceshaped with margins reflexed
outward, joining together at the tips, 10-13 mm long, both surfaces
densely hairy, free on over matured flowers after the release of pollen
grains. Grooved-Flower Sterculia is found in Arunachal Pradesh and
Myanmar. Flowering: February-April. 
"
